JMÉNO_ZVÍŘETE;TYP_ZVÍŘETE;GENDER
economic woodpecker;Tiger;Z
breakable chimpanzee;Bear;Z
developing crayfish;Donkey;M
strategic ferret;Lion;Z
inclined heron;Parrot;M
fresh roadrunner;Lion;Z
ordinary flamingo;Lizard;M
uptight fly;Horse;M
noble horse;Parrot;M
sticky planarian;Lion;M
intellectual ant;Donkey;Z
dependent stingray;Lizard;M
protective caterpillar;Tiger;M
soft dog;Parrot;Z
fat mule;Lion;Z
able gamefowl;Donkey;Z
near koala;Donkey;M
divine buzzard;Parrot;M
convenient opossum;Parrot;Z
printed mandrill;Lizard;M
capitalist spoonbill;Horse;Z
black bug;Dog;M
global eagle;Bear;M
late trout;Cat;Z
retail crow;Parrot;Z
fit spider;Lion;M
vocational snake;Tiger;Z
gentle mink;Fox;M
empirical cricket;Lizard;Z
misty sturgeon;Lion;Z
significant sole;Lizard;M
concerned hamster;Lizard;M
bad elk;Lion;Z
healthy mastodon;Bear;M
chilly damselfly;Tiger;Z
critical partridge;Horse;Z
possible raccoon;Donkey;M
visual penguin;Lion;M
tired marlin;Fox;Z
military crane;Fox;M
upper cougar;Lizard;Z
quiet koi;Lion;M
convinced fly;Dog;Z
flat tiglon;Donkey;Z
foreign junglefowl;Tiger;Z
lonely swallow;Horse;Z
worried macaw;Donkey;M
accurate lemur;Lizard;Z
anxious toad;Dog;M
sick otter;Lion;M
tasty gayal;Dog;Z
extreme sheep;Parrot;M
super ape;Horse;M
favourable fly;Donkey;Z
dirty roundworm;Lizard;M
amused cuckoo;Lion;Z
awful porcupine;Horse;M
nice stoat;Horse;M
flexible chicken;Dog;Z
brainy felidae;Bear;M
liberal otter;Horse;Z
welcome crow;Donkey;Z
immense cod;Cat;Z
misty narwhal;Parrot;M
magnificent albatross;Cat;Z
holy mouse;Donkey;M
clear canid;Lizard;Z
near pigeon;Horse;M
internal cockroach;Horse;Z
doubtful coral;Parrot;M
accepted beaver;Bear;Z
unable lemur;Bear;Z
magic marlin;Parrot;Z
present sloth;Lizard;M
innovative bird;Lizard;M
devoted penguin;Bear;Z
outer wildfowl;Horse;M
developing hyena;Donkey;Z
endless rabbit;Dog;Z
accessible antlion;Fox;M
nasty halibut;Lion;M
testy woodpecker;Parrot;M
friendly mite;Lizard;M
small silkworm;Lizard;Z
faithful pike;Horse;M
glamorous horse;Cat;Z
sheer silkworm;Parrot;M
decisive gopher;Dog;M
sweet silkworm;Parrot;M
joint perch;Bear;Z
mysterious jackal;Tiger;M
simple cicada;Fox;Z
impressive wombat;Cat;Z
competitive junglefowl;Dog;Z
strange ox;Horse;M
sunny harrier;Tiger;M
creepy egret;Donkey;M
magic snake;Bear;Z
worthwhile canidae;Tiger;Z
fit hornet;Dog;M
fierce booby;Parrot;M
delightful mackerel;Cat;M
jolly tuna;Lion;M
biological dog;Cat;M
awful alpaca;Lion;M
ashamed booby;Cat;M
organic termite;Parrot;Z
experienced peafowl;Lizard;Z
uniform halibut;Lion;Z
bewildered sheep;Parrot;M
specified pony;Lizard;Z
various piranha;Cat;Z
mechanical wasp;Tiger;Z
hushed catfish;Horse;Z
rapid warbler;Horse;Z
loud cephalopod;Lion;Z
atomic puma;Lizard;M
reduced goat;Parrot;Z
planned barracuda;Lizard;Z
legal rabbit;Fox;M
bright shark;Bear;Z
agreeable octopus;Parrot;Z
green echidna;Bear;Z
clean tarsier;Horse;M
worldwide eel;Lizard;M
creepy muskox;Lion;Z
ideological louse;Parrot;M
secret ladybug;Tiger;Z
wicked canid;Bear;Z
crude badger;Tiger;M
central grouse;Parrot;Z
panicky platypus;Lion;M
clever cow;Lizard;M
many dolphin;Cat;M
handsome eel;Dog;Z
crooked gibbon;Dog;Z
resulting grasshopper;Fox;Z
mid kingfisher;Cat;Z
bewildered elk;Bear;Z
wide vicuna;Lizard;Z
severe chimpanzee;Parrot;Z
grotesque elephant;Bear;Z
quick silkworm;Fox;M
high tiger;Lion;Z
fat roundworm;Dog;M
expensive gayal;Lion;Z
curly rodent;Horse;Z
electric parakeet;Tiger;M
forward puma;Donkey;Z
entire aardvark;Cat;Z
upset guppy;Bear;Z
determined cattle;Tiger;M
top clam;Tiger;M
roman mouse;Horse;M
new galliform;Bear;M
lengthy swallow;Lion;M
unusual constrictor;Fox;M
productive tarantula;Fox;M
loose rabbit;Tiger;Z
surviving gibbon;Donkey;M
electrical chicken;Lion;Z
senior tiglon;Bear;M
diverse peafowl;Parrot;Z
classical frog;Donkey;Z
uninterested perch;Dog;M
confidential tiger;Donkey;M
vivid mollusk;Fox;Z
visible whippet;Tiger;M
extraordinary canid;Horse;Z
spontaneous silverfish;Horse;Z
short lemming;Lion;Z
likely ostrich;Parrot;Z
progressive canidae;Fox;Z
managerial mule;Lion;M
great orca;Lion;Z
careful beetle;Fox;M
dizzy crane;Fox;M
delicious tiglon;Cat;M
physical antelope;Lion;Z
dramatic cheetah;Fox;Z
similar tick;Bear;M
complete bird;Parrot;M
stiff sloth;Horse;M
random cricket;Lizard;M
fashionable centipede;Cat;Z
territorial clam;Parrot;M
smart goldfish;Dog;Z
popular salmon;Tiger;Z
comfortable yak;Donkey;M
miniature alpaca;Parrot;M
everyday goat;Lizard;M
loud spider;Cat;M
everyday barracuda;Parrot;M
royal goat;Horse;M
musical chipmunk;Horse;Z
silly marmot;Parrot;M
cautious lobster;Cat;Z
vertical slug;Cat;Z
different porcupine;Donkey;Z
legislative swan;Lizard;Z
jealous goat;Bear;M
female possum;Lizard;M
lively hawk;Donkey;Z
deliberate clam;Lion;M
angry stoat;Lizard;Z
curly manatee;Donkey;M
bad panda;Lion;M
unconscious bobcat;Dog;Z
possible trout;Bear;M
heavy barracuda;Parrot;M
emotional yak;Fox;M
oral junglefowl;Lion;M
excited heron;Donkey;M
tragic possum;Cat;Z
functional rodent;Cat;Z
heavy alligator;Lizard;M
practical goose;Dog;Z
enthusiastic koi;Cat;M
constitutional kite;Lion;M
painful mastodon;Fox;M
comfortable cougar;Lizard;Z
poised meadowlark;Bear;Z
sparkling mite;Lion;Z
cooing ocelot;Cat;Z
selective harrier;Parrot;Z
kind pony;Bear;Z
marxist pig;Donkey;Z
jittery quokka;Dog;M
representative anteater;Parrot;Z
pretty ladybug;Bear;Z
doubtful dragonfly;Parrot;Z
equivalent earwig;Lion;M
damp skunk;Lizard;M
semantic guanaco;Tiger;Z
labour lark;Donkey;Z
zealous hummingbird;Tiger;M
dirty halibut;Lion;Z
valid armadillo;Lizard;Z
mean lobster;Cat;Z
wonderful angelfish;Bear;M
metropolitan narwhal;Donkey;M
opposite barnacle;Bear;M
soft clownfish;Fox;M
cultural gazelle;Bear;M
outstanding beetle;Lion;Z
splendid bedbug;Lizard;Z
moral yak;Fox;Z
high basilisk;Lion;M
wide echidna;Fox;Z
real coral;Lizard;M
mad bear;Parrot;Z
few basilisk;Parrot;M
efficient wombat;Dog;M
grey locust;Cat;M
yellow cricket;Bear;Z
dull goldfish;Donkey;Z
intermediate bandicoot;Fox;Z
spare frog;Lizard;Z
constitutional caribou;Dog;Z
gross shark;Fox;M
superb goose;Horse;Z
resonant koala;Cat;Z
aware reindeer;Lizard;Z
damp gerbil;Dog;Z
odd salamander;Dog;M
nervous goat;Parrot;Z
regional turkey;Lion;Z
scientific bass;Dog;M
sick otter;Parrot;Z
faithful guppy;Fox;Z
peaceful wolverine;Tiger;M
respective crocodile;Dog;M
male mandrill;Lizard;M
comparative silkworm;Lion;M
disappointed worm;Bear;M
supposed impala;Fox;Z
adjacent swallow;Donkey;Z
constitutional reindeer;Lion;M
hostile eagle;Lion;M
conscious puffin;Donkey;Z
wide galliform;Lizard;M
irrelevant herring;Dog;Z
independent rattlesnake;Lizard;Z
running constrictor;Fox;M
graceful quokka;Tiger;M
accepted pike;Dog;M
depressed pigeon;Lion;Z
faithful python;Lion;Z
difficult wildebeest;Lion;Z
competitive tahr;Fox;Z
ethnic crawdad;Donkey;M
colorful echidna;Donkey;Z
motionless cicada;Cat;M
sleepy lobster;Tiger;M
technical prawn;Donkey;M
convinced worm;Parrot;Z
willing carp;Horse;Z
spiritual halibut;Lion;M
blue orangutan;Cat;Z
content duck;Fox;Z
opposite kangaroo;Lizard;Z
decisive vulture;Dog;Z
imperial falcon;Fox;Z
bored tarsier;Lizard;M
united lobster;Parrot;M
nice galliform;Lizard;Z
western wallaby;Fox;Z
entitled moth;Parrot;Z
white snail;Lizard;M
semantic pheasant;Lion;Z
noisy firefly;Horse;Z
big dingo;Lion;M
bad rabbit;Horse;M
eldest partridge;Donkey;M
tired bedbug;Horse;Z
integrated parakeet;Horse;M
sunny hippopotamus;Horse;M
easy mite;Bear;M
physical earwig;Dog;Z
funny ape;Lizard;M
political hummingbird;Bear;M
scary tarantula;Fox;M
selected bear;Parrot;M
miniature parrot;Lion;Z
shiny chameleon;Fox;Z
excited swift;Fox;Z
annoyed condor;Dog;M
elegant hoverfly;Bear;Z
husky camel;Donkey;M
racial leech;Cat;Z
mushy toucan;Donkey;M
neat seahorse;Bear;Z
passive ant;Donkey;Z
lazy reptile;Horse;M
common mastodon;Cat;M
artistic skunk;Horse;Z
previous aardvark;Dog;Z
provincial cheetah;Parrot;M
simple gecko;Fox;Z
cheerful possum;Bear;Z
hostile jaguar;Tiger;M
spatial meerkat;Fox;M
financial finch;Fox;M
defiant planarian;Cat;Z
horizontal wildebeest;Cat;Z
outstanding squid;Cat;Z
foolish giraffe;Lizard;Z
main cephalopod;Fox;M
sporting tick;Bear;M
alert otter;Bear;M
petite cuckoo;Bear;M
inclined aardwolf;Bear;Z
hissing vulture;Fox;M
relative hookworm;Lizard;Z
quiet leopon;Tiger;Z
elegant whippet;Dog;Z
melodic booby;Fox;Z
fierce toucan;Lizard;Z
misleading wallaby;Parrot;M
dreadful salamander;Lizard;M
small fox;Dog;M
raspy sheep;Parrot;M
prominent canidae;Tiger;M
costly vicuna;Donkey;M
dull quail;Fox;Z
constitutional camel;Fox;M
industrial rodent;Lizard;M
splendid xerinae;Lion;Z
mysterious swordtail;Cat;M
crazy coyote;Bear;M
gross cattle;Tiger;Z
close cat;Cat;M
rich halibut;Lion;Z
domestic beaver;Lizard;Z
juicy bovid;Lizard;M
specified python;Lizard;M
integrated salamander;Cat;M
imaginative roadrunner;Donkey;Z
acute antelope;Lizard;M
silly marsupial;Horse;M
clever lungfish;Fox;M
powerful tiglon;Horse;M
disciplinary coral;Lizard;M
upper gayal;Tiger;Z
wide crab;Donkey;M
excessive crawdad;Horse;M
special crow;Fox;M
united herring;Donkey;Z
major ferret;Fox;M
round goat;Cat;M
short snail;Bear;M
white wombat;Cat;Z
numerous spider;Horse;Z
confused tapir;Fox;M
grubby marsupial;Fox;M
tiny stoat;Lion;M
minimum coyote;Parrot;M
new ant;Dog;Z
significant aardvark;Parrot;M
real penguin;Fox;Z
unusual constrictor;Lizard;Z
jealous badger;Lion;M
dusty aardwolf;Dog;M
solar armadillo;Horse;Z
vulnerable warbler;Lion;Z
dreadful opossum;Donkey;Z
supposed shark;Horse;Z
complicated mouse;Tiger;Z
sorry bandicoot;Donkey;M
colorful mammal;Tiger;Z
long sturgeon;Lion;M
complex python;Parrot;Z
prickly giraffe;Cat;Z
small otter;Bear;Z
favourable starfish;Donkey;M
broken chicken;Tiger;M
evil ox;Horse;Z
known swordfish;Fox;M
helpful horse;Lion;M
scary grasshopper;Bear;M
ideological cardinal;Parrot;M
brave cod;Cat;Z
tense stork;Lizard;Z
ideal camel;Tiger;Z
tall ostrich;Horse;Z
stuck eagle;Lizard;M
joyous whippet;Fox;Z
far marten;Lizard;M
intense xerinae;Lizard;M
guilty rabbit;Donkey;Z
temporary orca;Tiger;M
living mammal;Lion;M
heavy ocelot;Horse;M
round mite;Tiger;Z
splendid snipe;Tiger;Z
excessive pig;Donkey;Z
ideal turkey;Horse;Z
thundering pig;Lizard;Z
costly gamefowl;Fox;Z
unable prawn;Bear;M
coherent amphibian;Horse;M
net horse;Horse;M
brief barracuda;Bear;Z
professional wildcat;Horse;M
funny otter;Lizard;M
institutional hawk;Cat;Z
rigid buzzard;Lion;Z
nice roadrunner;Lion;M
amused swift;Fox;Z
novel porcupine;Lion;M
added horse;Bear;Z
aesthetic donkey;Dog;Z
empty lynx;Fox;Z
prepared louse;Bear;M
incredible antlion;Donkey;Z
clear lemming;Horse;M
western donkey;Cat;Z
prime otter;Tiger;M
outside tiglon;Parrot;Z
excited locust;Lizard;M
formidable primate;Fox;M
fat stoat;Parrot;M
coloured cattle;Fox;Z
blue vulture;Horse;M
flexible mastodon;Dog;M
identical ostrich;Tiger;Z
governing meerkat;Dog;M
metropolitan chipmunk;Parrot;Z
managing donkey;Lion;M
innocent monkey;Lion;M
impressive minnow;Parrot;M
numerous bird;Bear;Z
aggregate porcupine;Horse;Z
short sloth;Horse;M
representative ant;Lizard;Z
fat meadowlark;Tiger;M
scattered harrier;Tiger;Z
fine dog;Fox;M
long hare;Dog;M
hurt bison;Dog;M
living alligator;Fox;Z
striking parrot;Donkey;M
redundant leech;Horse;M
inherent swift;Horse;M
wild albatross;Cat;Z
cute elk;Cat;M
fit tapir;Lion;Z
golden cobra;Parrot;M
lesser goat;Lizard;Z
weird mule;Horse;M
wooden finch;Tiger;Z
contemporary wren;Donkey;Z
live spoonbill;Donkey;Z
occasional chipmunk;Donkey;M
overwhelming skink;Lion;M
redundant mole;Parrot;Z
muddy tiger;Horse;Z
past heron;Lizard;Z
stupid frog;Cat;M
economic weasel;Horse;M
steady tiglon;Lizard;M
rapid frog;Bear;M
financial lizard;Donkey;M
indirect cattle;Tiger;M
faint donkey;Lizard;Z
important carp;Fox;Z
rear bass;Bear;M
accused dolphin;Lizard;M
primitive perch;Donkey;Z
simple perch;Fox;Z
marine porpoise;Bear;Z
french barnacle;Lizard;M
distinguished zebra;Lion;Z
civil crocodile;Lion;Z
dutch rhinoceros;Lizard;M
silly dingo;Tiger;Z
thirsty basilisk;Cat;Z
overwhelming catshark;Donkey;M
straight macaw;Lion;M
living lion;Lion;Z
quaint squid;Fox;M
provincial cod;Fox;Z
brief wildfowl;Lizard;M
tender gazelle;Tiger;M
notable sturgeon;Lizard;Z
gross clam;Bear;Z
aggressive cat;Tiger;M
agreed flamingo;Cat;Z
passing gamefowl;Cat;Z
favourite tern;Horse;Z
decisive jay;Bear;Z
great guan;Bear;M
ok pheasant;Bear;Z
robust vicuna;Lion;M
principal krill;Lion;Z
worried duck;Dog;Z
spare wallaby;Parrot;Z
desperate monkey;Bear;M
cool sole;Bear;Z
big eagle;Dog;Z
regular weasel;Cat;M
nutritious crayfish;Dog;M
inner chickadee;Donkey;Z
Sound cricket;Parrot;M
female parrot;Fox;Z
main tahr;Dog;M
above mite;Lizard;Z
dry dog;Dog;M
inc scallop;Dog;Z
massive anteater;Dog;M
unconscious bat;Bear;M
thick hoverfly;Bear;Z
allied clam;Donkey;Z
chubby sturgeon;Donkey;M
long silverfish;Parrot;Z
soft silkworm;Tiger;M
early gamefowl;Lion;M
excellent gerbil;Fox;M
ideological salmon;Tiger;M
wild meerkat;Tiger;Z
better puma;Horse;Z
french mandrill;Horse;Z
sudden toad;Lion;Z
wet viper;Donkey;M
confused sparrow;Horse;Z
proposed earwig;Lion;Z
chilly tarsier;Lizard;Z
dark catfish;Fox;Z
friendly alpaca;Lion;M
panicky ape;Fox;Z
horrible sawfish;Fox;M
redundant cat;Fox;M
fair toucan;Lion;M
crooked leopard;Dog;Z
novel sole;Horse;Z
standard pike;Parrot;Z
open dolphin;Bear;M
logical asp;Lizard;M
rough rhinoceros;Donkey;M
silly damselfly;Parrot;Z
conscious cat;Bear;Z
psychiatric ant;Lion;M
chemical anaconda;Lizard;Z
universal gopher;Lizard;Z
convinced tuna;Dog;M
inner wolf;Horse;M
presidential sturgeon;Lion;Z
intermediate whitefish;Cat;M
passive caterpillar;Lizard;Z
compulsory anaconda;Parrot;Z
external thrush;Bear;Z
wicked opossum;Fox;M
condemned squid;Tiger;M
available gazelle;Donkey;Z
head wildfowl;Horse;M
monthly leopon;Fox;M
parental kiwi;Tiger;M
fancy pony;Tiger;M
moderate marsupial;Bear;M
blue pinniped;Dog;M
mental jellyfish;Horse;M
tender sturgeon;Tiger;M
senior alpaca;Lion;Z
pure wildcat;Cat;Z
miniature vole;Lizard;Z
parental amphibian;Tiger;Z
blue armadillo;Lion;Z
boring shark;Tiger;Z
slippery cod;Bear;M
excited dog;Parrot;Z
fair swordtail;Fox;M
accessible coyote;Bear;M
multiple hedgehog;Lizard;Z
long pig;Bear;Z
monetary mouse;Cat;Z
silly gayal;Parrot;M
single possum;Fox;Z
excessive hoverfly;Dog;M
intellectual alpaca;Parrot;Z
clumsy alpaca;Lizard;Z
maximum frog;Tiger;M
different dove;Donkey;M
purple muskox;Cat;M
silky vole;Lizard;Z
right possum;Bear;M
internal octopus;Donkey;Z
illegal impala;Bear;Z
repulsive parrotfish;Horse;M
clean pigeon;Lion;M
digital bovid;Donkey;M
monthly tarantula;Parrot;Z
gigantic cougar;Lion;Z
redundant wasp;Cat;M
practical asp;Lion;Z
tall marmoset;Lizard;M
narrow mockingbird;Lizard;Z
elated yak;Fox;Z
convenient moose;Lion;M
strong pike;Donkey;Z
purple quail;Bear;M
terrible hoverfly;Bear;M
profound dinosaur;Tiger;M
boring ferret;Lion;Z
visual dragonfly;Donkey;M
important donkey;Bear;Z
domestic eel;Tiger;M
doubtful narwhal;Cat;M
thick toucan;Lion;Z
successful roundworm;Parrot;Z
tasty cat;Lion;Z
determined goldfish;Cat;M
parliamentary chicken;Tiger;Z
prime dormouse;Horse;M
blank viper;Lizard;Z
evolutionary kite;Horse;Z
ministerial herring;Fox;M
helpful boa;Lizard;M
united macaw;Lion;Z
atomic muskox;Parrot;Z
big landfowl;Bear;M
preliminary xerinae;Horse;Z
zealous chinchilla;Donkey;Z
gothic chipmunk;Fox;Z
available leopard;Lizard;M
shy hedgehog;Parrot;Z
desirable warbler;Bear;M
wise partridge;Donkey;Z
primitive squid;Donkey;M
red guppy;Parrot;M
famous chickadee;Tiger;Z
warm moth;Fox;M
embarrassed wildfowl;Tiger;Z
grim silverfish;Donkey;M
static manatee;Donkey;M
helpless alpaca;Horse;Z
intermediate bat;Donkey;Z
wild rooster;Lion;Z
satisfactory puffin;Horse;Z
big iguana;Donkey;M
dry dinosaur;Parrot;Z
witty lemming;Fox;Z
coloured tapir;Lion;Z
given barnacle;Horse;Z
ratty meadowlark;Fox;M
diplomatic hare;Tiger;Z
clean hedgehog;Tiger;Z
historical krill;Lizard;M
internal mockingbird;Horse;M
spectacular tarantula;Parrot;M
scared cat;Parrot;M
occasional snail;Fox;Z
little rook;Parrot;M
absolute louse;Lion;Z
content earthworm;Bear;M
desirable cat;Parrot;Z
smoggy cattle;Parrot;M
successful tyrannosaurus;Cat;Z
drab reindeer;Donkey;M
full horse;Parrot;M
characteristic tapir;Parrot;M
gentle raven;Lizard;Z
early puma;Parrot;M
soviet centipede;Fox;Z
generous tortoise;Cat;Z
scattered rattlesnake;Lion;M
bored butterfly;Bear;M
missing kite;Donkey;M
considerable skunk;Tiger;Z
splendid tiglon;Lizard;M
feminist skunk;Bear;M
fellow deer;Tiger;Z
ministerial peacock;Donkey;Z
evident lamprey;Parrot;Z
flexible hyena;Fox;Z
quiet bobcat;Parrot;Z
revolutionary fox;Lizard;M
systematic bass;Lion;Z
married meerkat;Donkey;M
present walrus;Tiger;M
overwhelming mole;Cat;Z
wrong chipmunk;Horse;Z
weird hippopotamus;Lion;M
gentle grouse;Bear;Z
clean boar;Lizard;Z
golden chimpanzee;Horse;Z
shaggy camel;Lion;M
managing bedbug;Lion;Z
digital asp;Cat;Z
psychiatric coyote;Horse;Z
elaborate mammal;Dog;Z
scary wombat;Horse;Z
magic eagle;Horse;Z
alright quelea;Horse;M
eager pinniped;Donkey;Z
decisive snake;Cat;M
technical mockingbird;Tiger;Z
nice halibut;Lion;Z
new mole;Cat;Z
psychiatric tarantula;Donkey;M
disgusted guppy;Donkey;Z
total clownfish;Lion;M
accused shark;Lion;Z
wide tapir;Horse;M
ancient mink;Bear;Z
prior urial;Horse;Z
agreeable sawfish;Dog;Z
supporting chinchilla;Dog;Z
acceptable dragon;Parrot;M
causal primate;Cat;M
worthwhile coyote;Lion;Z
inevitable guppy;Cat;Z
healthy partridge;Bear;M
bright worm;Fox;M
exuberant chameleon;Lion;Z
suitable frog;Fox;Z
tory rodent;Donkey;Z
sad cod;Tiger;M
surprising donkey;Donkey;M
practical buzzard;Parrot;M
provincial wasp;Tiger;Z
amused lobster;Cat;Z
low heron;Cat;Z
worried centipede;Donkey;M
thorough vicuna;Tiger;M
interesting mackerel;Lizard;M
prepared hippopotamus;Fox;Z
heavy toad;Lizard;Z
varied llama;Fox;Z
noisy wasp;Dog;Z
historical beaver;Lion;M
crooked horse;Lizard;M
spicy marlin;Fox;Z
easy dove;Parrot;M
low junglefowl;Lion;M
complex snipe;Tiger;M
liable nightingale;Horse;M
awful jackal;Dog;M
innovative marlin;Lion;Z
remaining carp;Fox;Z
quiet flyingfish;Tiger;M
daily lark;Horse;Z
concrete goldfish;Bear;Z
old lemming;Cat;M
loose loon;Fox;Z
lonely cricket;Fox;M
associated shrew;Donkey;Z
short goat;Dog;Z
blushing cattle;Donkey;Z
common ape;Lizard;Z
meaningful asp;Lion;Z
chief condor;Horse;Z
welcome bovid;Donkey;Z
educational bee;Cat;M
private deer;Donkey;M
marginal goat;Donkey;M
careful jackal;Dog;M
integral orangutan;Cat;M
historic duck;Lion;Z
individual felidae;Cat;M
great impala;Cat;Z
decisive dragon;Fox;Z
happy trout;Lion;Z
legitimate bonobo;Bear;Z
confident alpaca;Lion;M
favourite bear;Parrot;M
aware primate;Horse;Z
secure vicuna;Fox;M
binding fowl;Bear;Z
large swordtail;Tiger;M
full rook;Lizard;M
annual bat;Lion;M
naval tyrannosaurus;Tiger;Z
electric sheep;Donkey;M
anxious lobster;Lizard;Z
fragile dove;Horse;Z
ugly walrus;Bear;M
boiling chimpanzee;Lion;M
clinical boar;Dog;M
gastric firefly;Tiger;M
historic walrus;Horse;M
combined sparrow;Parrot;Z
jittery shrimp;Bear;Z
average goldfish;Lion;Z
quaint reptile;Dog;Z
petite lion;Horse;M
elegant anteater;Lizard;Z
irrelevant deer;Donkey;Z
delicious owl;Donkey;Z
live wallaby;Parrot;Z
motionless snake;Lizard;Z
thundering caterpillar;Donkey;Z
compatible penguin;Dog;M
electronic rhinoceros;Lizard;Z
persistent canidae;Cat;M
senior salmon;Parrot;M
long mandrill;Donkey;M
quaint tapir;Tiger;Z
odd mackerel;Lion;M
mighty tarsier;Dog;Z
communist termite;Donkey;M
mature dinosaur;Parrot;M
dependent snipe;Lizard;M
willing moth;Lion;Z
exciting wasp;Parrot;Z
distinguished takin;Parrot;Z
brave earwig;Tiger;Z
acute cat;Lion;M
empty carp;Dog;Z
creative lion;Bear;Z
solid horse;Lion;M
funny centipede;Cat;M
accepted raccoon;Bear;Z
financial snail;Cat;Z
exceptional flea;Fox;Z
premier nightingale;Tiger;M
watery falcon;Lizard;Z
zany manatee;Lizard;Z
complex echidna;Parrot;Z
competitive krill;Tiger;Z
coastal shrew;Fox;M
square chickadee;Parrot;M
sole koi;Parrot;Z
interior halibut;Bear;Z
natural gecko;Parrot;M
sick pig;Fox;M
delicate hedgehog;Lizard;Z
select locust;Lizard;M
wise horse;Cat;Z
filthy roundworm;Parrot;M
compact yak;Parrot;Z
different ant;Lion;M
round stork;Tiger;M
select kingfisher;Cat;Z
breakable deer;Lion;Z
administrative bedbug;Horse;M
thirsty tarantula;Lion;M
square rooster;Parrot;M
crooked snipe;Horse;Z
key rodent;Lizard;Z
influential mandrill;Fox;Z
interior bedbug;Horse;M
massive mouse;Fox;Z
yellow roadrunner;Donkey;M
cute tortoise;Dog;M
ideological koi;Dog;Z
fit cattle;Fox;Z
concerned crocodile;Parrot;Z
bumpy bug;Dog;M
select parrotfish;Donkey;M
interior salmon;Lion;M
worrying peafowl;Cat;M
screeching wildfowl;Bear;M
sophisticated dragon;Cat;Z
puzzled horse;Parrot;Z
naughty egret;Donkey;M
appropriate bird;Cat;M
raw catshark;Parrot;M
chubby orca;Tiger;Z
capable partridge;Fox;M
wrong trout;Bear;Z
arbitrary aphid;Horse;M
modest hummingbird;Dog;Z
unhappy horse;Bear;Z
financial ermine;Cat;M
drab peafowl;Tiger;M
quaint macaw;Lizard;Z
interesting cattle;Parrot;M
commercial tick;Fox;Z
yellow aphid;Parrot;M
sad cockroach;Lizard;Z
static owl;Parrot;Z
warm crab;Tiger;Z
driving squid;Fox;M
sudden cod;Bear;Z
straightforward damselfly;Dog;Z
past mackerel;Horse;M
correct snipe;Horse;Z
urgent moth;Bear;Z
wonderful spider;Bear;Z
cold meerkat;Dog;M
vertical crayfish;Parrot;M
annoyed aardwolf;Lizard;M
correct pelican;Dog;Z
faint lizard;Fox;Z
delicious bonobo;Donkey;Z
great harrier;Cat;Z
fellow silverfish;Dog;Z
bright yak;Lion;Z
miserable ant;Fox;Z
old mackerel;Fox;M
stupid emu;Cat;Z
electrical skink;Parrot;Z
philosophical felidae;Cat;M
busy bobcat;Dog;Z
mechanical lizard;Horse;M
elaborate cod;Tiger;Z
low horse;Parrot;Z
still ptarmigan;Cat;M
uninterested kiwi;Cat;M
managing cod;Dog;Z
shaggy xerinae;Parrot;Z
worthwhile rook;Tiger;M
practical penguin;Fox;Z
linear hippopotamus;Tiger;Z
strong tortoise;Donkey;Z
difficult gerbil;Lizard;Z
excessive mouse;Donkey;M
miniature sole;Cat;Z
naked parakeet;Dog;Z
continuous tyrannosaurus;Parrot;M
delicate eel;Donkey;M
fat cardinal;Horse;M
burning mink;Bear;Z
french finch;Dog;M
Sound jaguar;Parrot;Z
perfect marmot;Cat;Z
male ape;Cat;M
desirable antelope;Lizard;M
spontaneous turkey;Lizard;Z
dynamic lark;Tiger;M
orthodox salmon;Fox;Z
happy marmot;Tiger;Z
shaggy mole;Horse;Z
homeless fowl;Horse;M
clever flea;Bear;Z
successive rabbit;Fox;M
hidden panther;Parrot;Z
implicit bird;Lizard;M
awake elk;Fox;Z
productive guppy;Cat;M
useless chicken;Bear;Z
vulnerable sheep;Lion;Z
scary bat;Lion;Z
blonde kingfisher;Lizard;Z
judicial possum;Donkey;Z
scattered wombat;Tiger;M
primitive lungfish;Tiger;Z
cautious kangaroo;Parrot;M
Sound rook;Donkey;M
super marmot;Cat;Z
swift pony;Fox;Z
implicit rodent;Donkey;M
individual magpie;Cat;Z
super eagle;Bear;M
brown bear;Horse;M
good iguana;Cat;Z
husky mockingbird;Dog;Z
broad guineafowl;Donkey;M
rich quail;Tiger;M
scattered tarsier;Tiger;M
shaky lobster;Parrot;Z
spotless cardinal;Fox;Z
forthcoming lemur;Donkey;M
blue cow;Lion;Z
common trout;Bear;Z
occasional octopus;Parrot;Z
married aardvark;Cat;Z
geographical bug;Parrot;Z
modern sheep;Fox;M
monetary mink;Lizard;M
cooperative vulture;Parrot;M
tiny penguin;Parrot;Z
armed moth;Parrot;Z
complicated jay;Cat;M
quick macaw;Bear;M
yellow dingo;Donkey;Z
good puffin;Dog;M
professional mule;Dog;Z
obliged turkey;Lion;Z
key orca;Parrot;M
giant crow;Lizard;Z
mysterious sparrow;Tiger;Z
dry sturgeon;Tiger;Z
reliable haddock;Donkey;Z
certain porcupine;Fox;M
following meerkat;Parrot;M
grumpy giraffe;Cat;Z
lively crocodile;Lizard;Z
great weasel;Donkey;Z
salty lungfish;Dog;Z
aware ape;Cat;Z
scattered rodent;Bear;M
variable vicuna;Dog;Z
hon worm;Horse;Z
different rodent;Dog;M
unpleasant bedbug;Parrot;M
bitter boa;Tiger;M
magnificent grasshopper;Lion;Z
advisory silverfish;Parrot;Z
